CMDLINE /app/.heroku/python/bin/python app.py
MEM 24.472656 1525308191.4592
MEM 24.472656 1525308191.5598
MEM 24.472656 1525308191.6603
MEM 24.472656 1525308191.7607
MEM 24.472656 1525308191.8613
MEM 24.472656 1525308191.9618
MEM 24.472656 1525308192.0628
MEM 24.472656 1525308192.1634
MEM 24.472656 1525308192.2639
MEM 24.472656 1525308192.3643
MEM 24.472656 1525308192.4649
MEM 24.472656 1525308192.5655
MEM 24.472656 1525308192.6661
MEM 24.472656 1525308192.7667
MEM 24.472656 1525308192.8674
MEM 24.472656 1525308192.9680
MEM 24.472656 1525308193.0685
MEM 24.472656 1525308193.1707
MEM 24.472656 1525308193.2713
MEM 24.472656 1525308193.3718
MEM 24.472656 1525308193.4723
MEM 24.472656 1525308193.5728
MEM 24.472656 1525308193.6734
MEM 24.472656 1525308193.7740
MEM 24.472656 1525308193.8747
MEM 24.472656 1525308193.9754
MEM 24.472656 1525308194.0760
MEM 24.472656 1525308194.1766
MEM 24.472656 1525308194.2772
MEM 24.472656 1525308194.3778
MEM 24.472656 1525308194.4784
MEM 24.472656 1525308194.5789
MEM 24.472656 1525308194.6794
MEM 24.472656 1525308194.7800
MEM 24.472656 1525308194.8806
MEM 24.472656 1525308194.9812
MEM 24.472656 1525308195.0817
MEM 24.472656 1525308195.1823
MEM 24.472656 1525308195.2830
MEM 24.472656 1525308195.3835
MEM 24.472656 1525308195.4840
MEM 24.472656 1525308195.5846
MEM 24.472656 1525308195.6851
MEM 24.472656 1525308195.7857
MEM 24.472656 1525308195.8864
MEM 24.472656 1525308195.9870
MEM 24.472656 1525308196.0875
MEM 24.472656 1525308196.1880
MEM 24.472656 1525308196.2885
MEM 24.472656 1525308196.3889
MEM 24.472656 1525308196.4894
MEM 24.472656 1525308196.5901
MEM 24.472656 1525308196.6905
MEM 24.472656 1525308196.7910
MEM 24.472656 1525308196.8915
MEM 24.472656 1525308196.9922
MEM 24.472656 1525308197.0927
MEM 24.472656 1525308197.1932
MEM 24.472656 1525308197.2937
MEM 24.472656 1525308197.3944
MEM 24.472656 1525308197.4950
MEM 24.472656 1525308197.5956
MEM 24.472656 1525308197.6962
MEM 24.472656 1525308197.7967
MEM 24.472656 1525308197.8973
MEM 24.472656 1525308197.9978
MEM 24.472656 1525308198.0984
MEM 24.472656 1525308198.1989
MEM 24.472656 1525308198.2995
MEM 24.472656 1525308198.4000
MEM 24.472656 1525308198.5005
MEM 24.472656 1525308198.6010
MEM 24.472656 1525308198.7016
MEM 24.472656 1525308198.8021
MEM 24.472656 1525308198.9027
MEM 24.472656 1525308199.0032
MEM 24.472656 1525308199.1038
MEM 24.472656 1525308199.2043
MEM 24.472656 1525308199.3048
MEM 24.472656 1525308199.4053
MEM 24.472656 1525308199.5059
MEM 24.472656 1525308199.6065
MEM 24.472656 1525308199.7069
MEM 24.472656 1525308199.8074
MEM 24.472656 1525308199.9080
MEM 24.472656 1525308200.0106
MEM 24.472656 1525308200.1112
MEM 24.472656 1525308200.2117
MEM 24.472656 1525308200.3122
MEM 24.472656 1525308200.4127
MEM 24.472656 1525308200.5133
MEM 24.472656 1525308200.6138
MEM 24.472656 1525308200.7144
MEM 24.472656 1525308200.8149
MEM 24.472656 1525308200.9155
MEM 24.472656 1525308201.0159
MEM 24.472656 1525308201.1166
MEM 24.472656 1525308201.2171
MEM 24.472656 1525308201.3177
MEM 24.472656 1525308201.4183
MEM 24.472656 1525308201.5190
MEM 24.472656 1525308201.6196
MEM 24.472656 1525308201.7203
MEM 24.472656 1525308201.8209
MEM 24.472656 1525308201.9214
MEM 24.472656 1525308202.0220
MEM 24.472656 1525308202.1225
MEM 24.472656 1525308202.2229
MEM 24.472656 1525308202.3236
MEM 24.472656 1525308202.4241
MEM 24.472656 1525308202.5246
MEM 24.472656 1525308202.6251
MEM 24.472656 1525308202.7257
MEM 24.472656 1525308202.8263
MEM 24.472656 1525308202.9269
MEM 24.472656 1525308203.0274
MEM 24.472656 1525308203.1279
MEM 24.472656 1525308203.2284
MEM 24.472656 1525308203.3290
MEM 24.472656 1525308203.4296
MEM 24.472656 1525308203.5301
MEM 24.472656 1525308203.6347
MEM 24.472656 1525308203.7353
MEM 24.472656 1525308203.8358
MEM 24.472656 1525308203.9363
MEM 24.472656 1525308204.0369
MEM 24.472656 1525308204.1374
MEM 24.472656 1525308204.2379
MEM 24.472656 1525308204.3385
MEM 24.472656 1525308204.4389
MEM 24.472656 1525308204.5394
MEM 24.472656 1525308204.6399
MEM 24.472656 1525308204.7403
MEM 24.472656 1525308204.8408
MEM 24.472656 1525308204.9416
MEM 24.472656 1525308205.0421
MEM 24.472656 1525308205.1426
MEM 24.472656 1525308205.2431
MEM 24.472656 1525308205.3438
MEM 24.472656 1525308205.4444
MEM 24.472656 1525308205.5450
MEM 24.472656 1525308205.6456
MEM 24.472656 1525308205.7464
MEM 24.472656 1525308205.8469
MEM 24.472656 1525308205.9475
MEM 24.472656 1525308206.0481
MEM 24.472656 1525308206.1486
MEM 24.472656 1525308206.2491
MEM 24.472656 1525308206.3496
MEM 24.472656 1525308206.4503
MEM 24.472656 1525308206.5509
MEM 24.472656 1525308206.6516
MEM 24.472656 1525308206.7521
MEM 24.472656 1525308206.8528
MEM 24.472656 1525308206.9534
MEM 24.472656 1525308207.0540
MEM 24.472656 1525308207.1546
MEM 24.472656 1525308207.2551
MEM 24.472656 1525308207.3557
MEM 24.472656 1525308207.4563
MEM 24.472656 1525308207.5570
MEM 24.472656 1525308207.6576
MEM 24.472656 1525308207.7581
MEM 24.472656 1525308207.8585
MEM 24.472656 1525308207.9592
MEM 24.472656 1525308208.0597
MEM 24.472656 1525308208.1602
MEM 24.472656 1525308208.2607
MEM 24.472656 1525308208.3612
MEM 24.472656 1525308208.4617
MEM 24.472656 1525308208.5625
MEM 24.472656 1525308208.6649
MEM 24.472656 1525308208.7660
MEM 24.472656 1525308208.8666
MEM 24.472656 1525308208.9672
MEM 24.472656 1525308209.0678
MEM 24.472656 1525308209.1684
MEM 24.472656 1525308209.2692
MEM 24.472656 1525308209.3698
MEM 24.472656 1525308209.4705
MEM 24.472656 1525308209.5710
MEM 24.472656 1525308209.6716
MEM 24.472656 1525308209.7720
MEM 24.472656 1525308209.8726
MEM 24.472656 1525308209.9731
MEM 24.472656 1525308210.0737
MEM 24.472656 1525308210.1744
MEM 24.472656 1525308210.2750
MEM 24.472656 1525308210.3756
MEM 24.472656 1525308210.4762
MEM 24.472656 1525308210.5768
MEM 24.472656 1525308210.6774
MEM 24.472656 1525308210.7780
MEM 24.472656 1525308210.8785
MEM 24.472656 1525308210.9791
MEM 24.472656 1525308211.0797
MEM 24.472656 1525308211.1802
MEM 24.472656 1525308211.2808
MEM 24.472656 1525308211.3814
MEM 24.472656 1525308211.4819
MEM 24.472656 1525308211.5825
MEM 24.472656 1525308211.6830
MEM 24.472656 1525308211.7835
MEM 24.472656 1525308211.8842
MEM 24.472656 1525308211.9848
MEM 24.472656 1525308212.0867
MEM 24.472656 1525308212.1872
MEM 24.472656 1525308212.2877
MEM 24.472656 1525308212.3885
MEM 24.472656 1525308212.4890
MEM 24.472656 1525308212.5895
MEM 24.472656 1525308212.6902
MEM 24.472656 1525308212.7908
MEM 24.472656 1525308212.8914
MEM 24.472656 1525308212.9919
MEM 24.472656 1525308213.0925
MEM 24.472656 1525308213.1930
MEM 24.472656 1525308213.2935
MEM 24.472656 1525308213.3940
MEM 24.472656 1525308213.4946
MEM 24.472656 1525308213.5954
MEM 24.472656 1525308213.6960
MEM 24.472656 1525308213.7966
MEM 24.472656 1525308213.8971
MEM 24.472656 1525308213.9986
MEM 24.472656 1525308214.0991
MEM 24.472656 1525308214.1996
MEM 24.472656 1525308214.3003
MEM 24.472656 1525308214.4009
MEM 24.472656 1525308214.5014
MEM 24.472656 1525308214.6019
MEM 24.472656 1525308214.7026
MEM 24.472656 1525308214.8035
MEM 24.472656 1525308214.9041
MEM 24.472656 1525308215.0067
MEM 24.472656 1525308215.1072
MEM 24.472656 1525308215.2080
MEM 24.472656 1525308215.3088
MEM 24.472656 1525308215.4095
MEM 24.472656 1525308215.5103
MEM 24.472656 1525308215.6110
MEM 24.472656 1525308215.7116
MEM 24.472656 1525308215.8121
MEM 24.472656 1525308215.9126
MEM 24.472656 1525308216.0132
MEM 24.472656 1525308216.1136
MEM 24.472656 1525308216.2143
MEM 24.472656 1525308216.3155
MEM 24.472656 1525308216.4165
MEM 24.472656 1525308216.5171
MEM 24.472656 1525308216.6176
MEM 24.472656 1525308216.7181
MEM 24.472656 1525308216.8188
MEM 24.472656 1525308216.9193
MEM 24.472656 1525308217.0198
MEM 24.472656 1525308217.1204
MEM 24.472656 1525308217.2209
MEM 24.472656 1525308217.3216
MEM 24.472656 1525308217.4222
MEM 24.472656 1525308217.5227
MEM 24.472656 1525308217.6233
MEM 24.472656 1525308217.7240
MEM 24.472656 1525308217.8247
MEM 24.472656 1525308217.9252
MEM 24.472656 1525308218.0258
MEM 24.472656 1525308218.1264
MEM 24.472656 1525308218.2270
MEM 24.472656 1525308218.3275
MEM 24.472656 1525308218.4282
MEM 24.472656 1525308218.5287
MEM 24.472656 1525308218.6292
MEM 24.472656 1525308218.7298
MEM 24.472656 1525308218.8305
MEM 24.472656 1525308218.9313
MEM 24.472656 1525308219.0319
MEM 24.472656 1525308219.1324
MEM 24.472656 1525308219.2330
MEM 24.472656 1525308219.3336
MEM 24.472656 1525308219.4343
MEM 24.472656 1525308219.5350
MEM 24.472656 1525308219.6357
MEM 24.472656 1525308219.7363
MEM 24.472656 1525308219.8369
MEM 24.472656 1525308219.9374
MEM 24.472656 1525308220.0381
MEM 24.472656 1525308220.1388
MEM 24.472656 1525308220.2394
MEM 24.472656 1525308220.3414
MEM 24.472656 1525308220.4420
MEM 24.472656 1525308220.5427
MEM 24.472656 1525308220.6432
MEM 24.472656 1525308220.7449
MEM 24.472656 1525308220.8454
MEM 24.472656 1525308220.9459
MEM 24.472656 1525308221.0465
MEM 24.472656 1525308221.1472
