CMDLINE /app/.heroku/python/bin/python app.py
MEM 5.128906 1525310539.0203
MEM 9.960938 1525310539.1223
MEM 14.425781 1525310539.2277
MEM 18.382812 1525310539.3296
MEM 19.132812 1525310539.4312
MEM 21.460938 1525310539.5351
MEM 21.695312 1525310539.6419
MEM 22.421875 1525310539.7466
MEM 22.894531 1525310539.8482
MEM 23.210938 1525310539.9498
MEM 24.351562 1525310540.0515
MEM 36.140625 1525310540.1536
MEM 42.394531 1525310540.2558
MEM 46.195312 1525310540.3579
MEM 48.703125 1525310540.4600
MEM 48.703125 1525310540.5636
MEM 48.703125 1525310540.6679
MEM 48.703125 1525310540.7722
MEM 48.703125 1525310540.8811
MEM 48.703125 1525310540.9833
MEM 48.703125 1525310541.0859
MEM 48.703125 1525310541.1879
MEM 48.703125 1525310541.2920
MEM 48.703125 1525310541.3959
MEM 48.703125 1525310541.4997
MEM 48.703125 1525310541.6056
MEM 48.703125 1525310541.7079
MEM 48.703125 1525310541.8126
MEM 48.703125 1525310541.9169
MEM 48.703125 1525310542.0191
MEM 48.703125 1525310542.1247
MEM 48.703125 1525310542.2281
MEM 48.703125 1525310542.3308
MEM 48.703125 1525310542.4359
MEM 48.703125 1525310542.5385
MEM 48.703125 1525310542.6405
MEM 48.703125 1525310542.7428
MEM 48.703125 1525310542.8468
MEM 48.703125 1525310542.9495
MEM 48.703125 1525310543.0539
MEM 48.703125 1525310543.1599
MEM 48.703125 1525310543.2641
MEM 48.703125 1525310543.3706
MEM 48.703125 1525310543.4732
MEM 48.703125 1525310543.5761
MEM 48.703125 1525310543.6796
MEM 48.703125 1525310543.7831
MEM 48.703125 1525310543.8857
MEM 48.703125 1525310543.9904
MEM 48.703125 1525310544.0925
MEM 48.703125 1525310544.1971
MEM 48.703125 1525310544.3015
MEM 48.703125 1525310544.4038
MEM 48.703125 1525310544.5071
MEM 48.703125 1525310544.6104
MEM 48.703125 1525310544.7124
MEM 48.703125 1525310544.8175
MEM 48.703125 1525310544.9205
MEM 48.703125 1525310545.0262
MEM 48.703125 1525310545.1322
MEM 48.703125 1525310545.2359
MEM 48.703125 1525310545.3402
MEM 48.703125 1525310545.4481
MEM 48.703125 1525310545.5502
MEM 48.703125 1525310545.6521
MEM 48.703125 1525310545.7546
MEM 48.703125 1525310545.8592
MEM 48.703125 1525310545.9613
MEM 48.703125 1525310546.0657
MEM 48.703125 1525310546.1701
MEM 48.703125 1525310546.2721
MEM 48.703125 1525310546.3741
MEM 48.703125 1525310546.4782
MEM 48.703125 1525310546.5838
MEM 48.703125 1525310546.6891
MEM 48.703125 1525310546.7912
MEM 48.703125 1525310546.8933
MEM 48.703125 1525310546.9953
MEM 48.703125 1525310547.1021
MEM 48.703125 1525310547.2118
MEM 48.703125 1525310547.3138
MEM 48.703125 1525310547.4199
MEM 48.703125 1525310547.5244
MEM 48.703125 1525310547.6266
MEM 48.703125 1525310547.7288
MEM 48.703125 1525310547.8309
MEM 48.703125 1525310547.9333
MEM 48.703125 1525310548.0362
MEM 48.703125 1525310548.1401
MEM 48.703125 1525310548.2422
MEM 48.703125 1525310548.3467
MEM 48.703125 1525310548.4487
MEM 48.703125 1525310548.5508
MEM 48.703125 1525310548.6558
MEM 48.703125 1525310548.7579
MEM 48.703125 1525310548.8599
MEM 48.703125 1525310548.9628
MEM 48.703125 1525310549.0666
MEM 48.703125 1525310549.1686
MEM 48.703125 1525310549.2708
MEM 48.703125 1525310549.3728
MEM 48.703125 1525310549.4759
MEM 48.703125 1525310549.5797
MEM 48.703125 1525310549.6834
MEM 48.703125 1525310549.7854
MEM 48.703125 1525310549.8884
MEM 48.703125 1525310549.9920
MEM 48.703125 1525310550.0966
MEM 48.703125 1525310550.1986
MEM 48.703125 1525310550.3015
MEM 48.703125 1525310550.4065
